eta,risk,strategy,minute_index,utc_day,objective_gain_bps,monetary_gain_bps
5.0,0.0,full,33185,20689,0.0848670048718457,0.0848670048718457
5.0,0.0,full,33215,20689,-0.030409390606213667,-0.030409390606213667
5.0,0.0,full,33245,20689,0.10369016221962878,0.10369016221962878
5.0,0.0,full,33275,20689,-0.07435006967355667,-0.07435006967355667
5.0,0.0,full,33305,20689,0.11273102321066569,0.11273102321066569
5.0,0.0,full,33335,20689,-0.000338617453474905,-0.000338617453474905
5.0,0.0,full,33365,20689,-0.039447010363172524,-0.039447010363172524
5.0,0.0,full,33395,20689,0.0202618304834302,0.0202618304834302
5.0,0.0,full,33425,20689,0.03820181378012986,0.03820181378012986
5.0,0.0,full,33455,20689,-0.030314080417668164,-0.030314080417668164
5.0,0.0,full,33485,20689,-0.07991712822428147,-0.07991712822428147
5.0,0.0,full,33515,20689,0.16353597849958185,0.16353597849958185
5.0,0.0,full,33545,20689,0.02331701393487775,0.02331701393487775
5.0,0.0,full,33575,20689,0.039670956516867,0.039670956516867
5.0,0.0,full,33605,20689,0.03790848926719218,0.03790848926719218
5.0,0.0,full,33635,20689,0.06375534708758242,0.06375534708758242
5.0,0.0,full,33665,20689,0.09776872482300131,0.09776872482300131
5.0,0.0,full,33695,20689,0.026481576405160436,0.026481576405160436
5.0,0.0,full,33725,20689,0.17225094212309042,0.17225094212309042
5.0,0.0,full,33755,20689,-0.061290162746294,-0.061290162746294
5.0,0.0,full,33785,20689,-0.020929870643433757,-0.020929870643433757
5.0,0.0,full,33815,20689,-0.14134907318235063,-0.14134907318235063
5.0,0.0,full,33845,20689,-0.005038185018641383,-0.005038185018641383
5.0,0.0,full,33875,20689,-0.0026321224734855387,-0.0026321224734855387
5.0,0.0,full,33905,20689,0.06170394556039005,0.06170394556039005
5.0,0.0,full,33935,20689,0.16018661437569418,0.16018661437569418
5.0,0.0,full,33965,20689,0.09083509373137116,0.09083509373137116
5.0,0.0,full,33995,20689,-0.0844969648639922,-0.0844969648639922
5.0,0.0,full,34025,20689,0.025690693324772088,0.025690693324772088
5.0,0.0,full,34055,20689,-0.16772298145926445,-0.16772298145926445
5.0,0.0,full,34085,20689,-0.023455548156074292,-0.023455548156074292
5.0,0.0,full,34115,20689,0.06715661356112605,0.06715661356112605
5.0,0.0,full,34145,20689,0.08959961424060296,0.08959961424060296
5.0,0.0,full,34175,20689,-0.017418166848368725,-0.017418166848368725
5.0,0.0,full,34205,20689,0.08720764543732644,0.08720764543732644
5.0,0.0,full,34235,20689,0.03537362580064736,0.03537362580064736
5.0,0.0,full,34265,20689,0.004728989846139089,0.004728989846139089
5.0,0.0,full,34295,20689,-0.03916406258241271,-0.03916406258241271
5.0,0.0,full,34325,20689,0.003185624873784258,0.003185624873784258
5.0,0.0,full,34355,20689,0.005851486248151955,0.005851486248151955
5.0,0.0,full,34385,20689,-0.016463703456173526,-0.016463703456173526
5.0,0.0,full,34415,20689,-0.00103030078121165,-0.00103030078121165
5.0,0.0,full,34445,20689,-0.0018987580533691346,-0.0018987580533691346
5.0,0.0,full,34475,20689,-0.028958836618503292,-0.028958836618503292
5.0,0.0,full,34505,20689,-0.0062575055169010185,-0.0062575055169010185
5.0,0.0,full,34535,20689,0.006493553304561106,0.006493553304561106
5.0,0.0,full,34565,20690,0.23584701375923342,0.23584701375923342
5.0,0.0,full,34595,20690,0.3716709268426399,0.3716709268426399
5.0,0.0,full,34625,20690,-0.13363049882155967,-0.13363049882155967
5.0,0.0,full,34655,20690,0.028704212422176172,0.028704212422176172
5.0,0.0,full,34685,20690,0.03985339903581922,0.03985339903581922
5.0,0.0,full,34715,20690,0.01261391648705064,0.01261391648705064
5.0,0.0,full,34745,20690,-0.04632497836406228,-0.04632497836406228
5.0,0.0,full,34775,20690,0.03477426144444462,0.03477426144444462
5.0,0.0,full,34805,20690,0.004490610496290985,0.004490610496290985
5.0,0.0,full,34835,20690,0.0021895614972359994,0.0021895614972359994
5.0,0.0,full,34865,20690,-7.688698953350041e-05,-7.688698953350041e-05
5.0,0.0,full,34895,20690,-0.026628173796396995,-0.026628173796396995
5.0,0.0,full,34925,20690,0.04904717719009685,0.04904717719009685
5.0,0.0,full,34955,20690,-0.04757294130012639,-0.04757294130012639
5.0,0.0,full,34985,20690,-0.06376390906428082,-0.06376390906428082
5.0,0.0,full,35015,20690,0.05876142220307875,0.05876142220307875
5.0,0.0,full,35045,20690,0.07671665556158848,0.07671665556158848
5.0,0.0,full,35075,20690,-0.030017890515767767,-0.030017890515767767
5.0,0.0,full,35105,20690,-0.03394352077056111,-0.03394352077056111
5.0,0.0,full,35135,20690,-0.13768844385818066,-0.13768844385818066
5.0,0.0,full,35165,20690,-0.014046413424329267,-0.014046413424329267
5.0,0.0,full,35195,20690,-0.02545610994055469,-0.02545610994055469
5.0,0.0,full,35225,20690,0.046654198913132765,0.046654198913132765
5.0,0.0,full,35255,20690,0.01277976611251983,0.01277976611251983
5.0,0.0,full,35285,20690,-0.12736674573416598,-0.12736674573416598
5.0,0.0,full,35315,20690,0.016804633297187597,0.016804633297187597
5.0,0.0,full,35345,20690,0.001852505686909227,0.001852505686909227
5.0,0.0,full,35375,20690,-0.04689309639444057,-0.04689309639444057
5.0,0.0,full,35405,20690,0.01456292471519753,0.01456292471519753
5.0,0.0,full,35435,20690,0.00517833792416115,0.00517833792416115
5.0,0.0,full,35465,20690,-0.014159701304904656,-0.014159701304904656
5.0,0.0,full,35495,20690,0.008457342097294448,0.008457342097294448
5.0,0.0,full,35525,20690,0.17308478837735986,0.17308478837735986
5.0,0.0,full,35555,20690,0.0055202719932605435,0.0055202719932605435
